name,lat,lon,country,state
Agra,27.1800,78.0200,IN,Uttar Pradesh
Balandougou,13.3558,-9.5517,ML,Kayes
Agwar,27.1800,78.0200,IN,Uttar Pradesh
Leon de los Aldama,21.1167,-101.6833,MX,Guanajuato
Yopougon,5.3167,-4.0667,CI,Abidjan
Puebla,19.0333,-98.1833,MX,Puebla
Madurai,9.9252,78.1198,IN,Tamil Nādu
Hebi,35.7497,114.2887,CN,Henan
Cordoba,-31.4167,-64.1833,AR,Córdoba
Shiraz,29.6100,52.5425,IR,Fārs
Jamshedpur,22.7925,86.1842,IN,Jhārkhand
Tabriz,38.0814,46.3006,IR,Āz̄arbāyjān-e Sharqī
Huzhou,30.8925,120.0875,CN,Zhejiang
Columbus,39.9862,-82.9855,US,Ohio
Sofia,42.7000,23.3300,BG,Sofia-Grad
Kawasaki,35.5167,139.7000,JP,Kanagawa
San Jose,9.9325,-84.0800,CR,San José
Aba,5.1167,7.3667,NG,Abia
Palembang,-2.9861,104.7556,ID,Sumatera Selatan
Zhangjiajie,29.1255,110.4844,CN,Hunan
Kobe,34.6900,135.1956,JP,Hyōgo
Jiaxing,30.7522,120.7500,CN,Zhejiang
Charlotte,35.2083,-80.8303,US,North Carolina
Guiping,23.4000,110.0833,CN,Guangxi
Lianjiang,21.6146,110.2794,CN,Guangdong
Ximeicun,24.9633,118.3811,CN,Fujian
Jianguang,28.1958,115.7833,CN,Jiangxi
Yucheng,29.9888,103.0007,CN,Sichuan
Panama City,8.9833,-79.5167,PA,Panamá
Xushan,30.1697,121.2665,CN,Zhejiang
Belem,-1.4558,-48.5039,BR,Pará
Virginia Beach,36.7335,-76.0435,US,Virginia
Leizhou,20.9147,110.0806,CN,Guangdong
Gwangju,35.1653,126.8486,KR,Gwangju
Nasik,20.0000,73.7800,IN,Mahārāshtra
Porto Alegre,-30.0331,-51.2300,BR,Rio Grande do Sul
Valencia,10.1667,-68.0000,VE,Carabobo
Onitsha,6.1667,6.7833,NG,Anambra
Abu Dhabi,24.4667,54.3667,AE,Abū Z̧aby
Daejeon,36.3510,127.3850,KR,Daejeon
Zapopan,20.7167,-103.4000,MX,Jalisco
Bronx,40.8501,-73.8662,US,New York
Yekaterinburg,56.8356,60.6128,RU,Sverdlovskaya Oblast’
Huazhou,32.6832,112.0790,CN,Henan
Kyoto,35.0117,135.7683,JP,Kyōto
Jinhua,29.1046,119.6494,CN,Zhejiang
Amsterdam,52.3728,4.8936,NL,Noord-Holland
Shuangyashan,46.6388,131.1545,CN,Heilongjiang
Pizhou,34.3422,118.0097,CN,Jiangsu
El Kelaa des Srarhna,32.0481,-7.4083,MA,Marrakech-Safi
Dakar,14.6928,-17.4467,SN,Dakar
Kharkiv,49.9925,36.2311,UA,Kharkivska Oblast
Yangshe,31.8775,120.5512,CN,Jiangsu
